Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,Reported Number of Votes,Calculated Number of Votes,Absentee,Armory-1,Armory-2,Beatrice,Bermuda,Bethel Bapt. Ch.,Buena Vista/Vredenburgh,Burnt Corn,Bursonville,Coleman School House,Eliska,Excel,Fountain & Ridge,Franklin Fire Station,Frisco City,Goodway Fire Station,Grimes,Lower Peachtree,Magargel,McGill,Mexia Fire Station,Midway/McClammy,Monroeville Coliseum,Monroeville Fire Sta.,Oak Grove,Monroeville Dept. of Revenue,Perdue Hill/Manistee,Peterman,Simpkinsville/Old Texas,Tinela/Hybart,Tunnell Springs,Uriah,Wainwright
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,MONROE,GOVERNOR,DEM,"Siegelman, Don",3755,3754,146,220,170,306,32,377,124,84,26,13,72,143,95,62,284,40,44,136,18,22,147,8,269,158,47,62,128,186,1,8,110,141,75
50,MONROE,GOVERNOR,LIB,"Sophocleus, John P.",63,63,3,5,3,0,0,2,0,0,0,1,0,8,1,1,4,3,0,0,2,1,3,1,6,5,0,3,1,2,0,0,4,4,0
50,MONROE,GOVERNOR,REP,"Riley, Bob",4372,4372,175,427,372,77,39,2,17,17,9,108,62,693,23,104,285,160,23,0,59,81,365,23,180,235,109,144,77,124,30,11,32,251,58
50,MONROE,GOVERNOR,WI,WRITE-IN,25,25,0,1,2,0,1,0,1,0,0,1,0,9,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,2,0
50,MONROE,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",4227,4217,165,246,211,307,38,371,121,84,34,32,85,247,100,78,310,68,45,130,18,28,186,14,281,173,54,79,127,200,8,8,124,162,83
50,MONROE,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",81,81,5,4,3,2,1,1,1,0,1,0,0,11,1,2,7,3,1,3,2,1,7,1,3,9,0,4,1,0,0,0,2,3,2
50,MONROE,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",3800,3800,146,392,330,73,32,5,20,16,1,90,48,585,17,80,250,129,17,2,54,75,314,17,168,209,102,124,73,103,24,11,20,226,47
50,MONROE,LIEUTENANT GOVERNOR,WI,WRITE-IN,18,18,2,1,2,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,2,0
50,MONROE,UNITED STATES SENATOR,DEM,"Parker, Susan",3058,3058,99,143,139,288,22,356,113,84,28,13,69,87,88,42,223,29,37,130,11,15,104,5,232,118,27,40,101,172,4,6,103,66,64
50,MONROE,UNITED STATES SENATOR,LIB,"Allen, Jeff",90,90,3,8,2,1,0,4,1,0,1,0,0,9,2,3,6,4,0,1,0,0,6,1,9,4,3,6,0,4,1,0,1,7,3
50,MONROE,UNITED STATES SENATOR,REP,"Sessions, Jeff",4972,4972,222,498,408,94,49,13,27,17,5,109,65,748,29,120,340,168,29,1,66,90,400,26,211,271,125,161,101,130,26,13,43,303,64
