Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,,,,,Total Number of Votes,ABSENTEE VOTERS,ALLGOOD,BLOUNT SPRINGS,BLOUNTSVILLE,BROOKSVILLE,CLEVELAND,DALLAS - SELFVILLE,HAYDEN,HOLLY SPRINGS,LOCUST FORK,MT_ HIGH,MURPHREE VALLEY,NECTAR,ONEONTA . 1,ONEONTA . 2,PINE MOUNTAIN,REMLAP,ROCK SPRINGS,ROSA,ROYAL,SMOKE RISE,SNEAD,ST_ MOUNTAIN,SUGAR CREEK - BANGOR,SUMMIT,SUSAN MOORE
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,BLOUNT,UNITED STATES SENATOR,REP,"Sessions, Jeff",11249,191,271,142,728,205,474,544,926,163,581,661,334,431,554,654,224,507,257,334,194,637,574,859,242,151,411
05,BLOUNT,UNITED STATES SENATOR,WI,WRITE-IN,31,1,0,0,2,1,3,1,5,0,0,3,3,1,5,0,1,1,0,0,1,0,2,1,0,0,0
05,BLOUNT,ATTORNEY GENERAL,DEM,"Whigham, Boyd",3839,65,72,39,363,93,260,208,297,34,215,190,88,175,228,249,50,109,110,126,87,134,172,170,88,110,107
05,BLOUNT,ATTORNEY GENERAL,LIB,"Myers, Wilson",432,6,7,7,24,14,22,26,37,7,28,33,13,10,23,18,7,14,5,11,9,21,17,30,20,8,15
05,BLOUNT,ATTORNEY GENERAL,REP,"Pryor, Bill",10882,185,249,136,701,172,450,533,905,152,553,645,344,412,570,639,232,513,231,323,174,631,563,829,213,133,394
05,BLOUNT,ATTORNEY GENERAL,WI,WRITE-IN,22,1,0,0,1,0,2,2,2,1,0,1,2,0,1,1,0,0,0,3,1,2,2,0,0,0,0
05,BLOUNT,"ASSOCIATE JUSTICE, SUPREME COURT",DEM,"Anderson, James H.",5245,71,94,49,470,111,321,274,430,51,297,265,144,245,315,356,86,159,130,181,107,197,249,261,111,119,152
05,BLOUNT,"ASSOCIATE JUSTICE, SUPREME COURT",LIB,"Bear, Tom",417,6,7,11,31,11,22,22,33,6,23,28,13,11,19,10,6,26,9,14,9,23,8,31,13,7,18
05,BLOUNT,"ASSOCIATE JUSTICE, SUPREME COURT",REP,"See, Harold",9423,180,233,123,594,158,382,461,767,136,469,565,286,342,471,534,197,448,204,263,154,565,488,739,192,125,347
05,BLOUNT,"ASSOCIATE JUSTICE, SUPREME COURT",WI,WRITE-IN,18,0,0,0,1,0,0,0,3,0,0,3,1,1,3,1,0,0,0,0,0,1,1,1,0,1,1
05,BLOUNT,COURT OF CIVIL APPEALS,DEM,"Toles, Vicky Underwood",4243,68,78,44,383,96,276,239,349,35,242,204,95,206,266,276,57,118,111,150,87,163,189,187,98,98,128
