Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,,,,,Total Number of Votes,ABSENTEE VOTERS,ARDMORE TOWN HALL,ATHENS RECREATION CENTER .1,ATHENS RECREATION CENTER .2,BELMORE BAPTIST CHURCH,BETHEL CHURCH OF CHRIST,BLACKBURN COMMUNITY BUILDING,CLEMENTS FIRE DEPARTMENT,EAST LIMESTONE FIRE DEPT .1,EAST LIMESTONE FIRE DEPT .2,ELKMONT FIRE DEPARTMENT,GOODSPRINGS COMMUNITY CENTER,JOHNSON ELEMENTARY SCHOOL,LEGGTOWN,LESTER POST OFFICE,NATIONAL GUARD ARMORY .1,NATIONAL GUARD ARMORY .2,OAK GROVE FIRE DEPARTMENT,OWENS ELEMENTARY SCHOOL .1,OWENS ELEMENTARY SCHOOL .2,PINEY CHAPEL,PLEASANT GROVE FIRE DEPARTMENT,REID ELEMENTARY SCHOOL,RIPLEY - WOW HALL,SEGARS ROAD FIRE DEPARTMENT,SENIOR CITIZEN CENTER .1,SENIOR CITIZEN CENTER .2,TANNER FIRE DEPARTMENT,TRINITY 7TH DAY ADVENTIST .1,TRINITY 7TH DAY ADVENTIST .2,W HOBBS ST CHURCH OF CHRIST .1,W HOBBS ST CHURCH OF CHRIST .2,WEST LIMESTONE FIRE DEPARTMENT
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,LIMESTONE,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 5",REP,"Coffman, Ronnie G.",5881,156,497,345,325,0,194,0,0,0,0,395,99,281,66,25,614,368,325,119,310,329,192,0,0,0,164,142,0,34,228,326,273,74
42,LIMESTONE,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 5",WI,WRITE-IN,17,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,3,1,0,0,0,0,1,0,0,0,0,1,1,1
42,LIMESTONE,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 25",DEM,"Miles, Pam",1037,24,0,0,0,0,132,0,0,275,592,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,LIMESTONE,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 25",REP,"Garner, Ray",1410,38,0,0,0,0,149,0,0,428,753,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,LIMESTONE,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 25",WI,WRITE-IN,4,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,LIMESTONE,STATEWIDE AMENDMENT #1,,YES,14492,307,674,461,522,242,488,528,497,559,1078,591,145,449,141,57,953,599,447,308,827,554,317,457,240,265,331,269,361,78,674,490,432,151
42,LIMESTONE,STATEWIDE AMENDMENT #1,,NO,3229,54,179,102,87,64,103,139,138,102,169,145,51,128,39,17,155,104,129,76,225,150,78,103,57,44,65,59,74,14,124,127,95,33
42,LIMESTONE,STATEWIDE AMENDMENT #2,,YES,7095,131,341,214,238,153,184,269,235,264,477,273,80,206,71,28,422,279,225,148,400,288,161,264,101,106,168,133,203,51,462,230,220,70
42,LIMESTONE,STATEWIDE AMENDMENT #2,,NO,9246,205,435,307,309,125,359,360,335,336,672,418,99,312,96,38,600,373,301,209,575,363,200,250,176,172,200,174,210,36,293,350,263,95
42,LIMESTONE,STATEWIDE AMENDMENT #3,,YES,10297,200,454,323,356,179,315,394,369,381,715,431,113,326,119,54,623,413,327,202,597,432,234,330,187,174,233,198,268,53,505,370,309,113
42,LIMESTONE,STATEWIDE AMENDMENT #3,,NO,5826,121,305,173,178,107,222,227,215,221,415,249,68,200,50,15,352,222,190,146,370,233,132,182,89,103,126,110,130,29,233,195,163,55
