Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64
,,,,,Total Number of Votes,Absentee,AL Industrial Devel. Training,AL State University,AL Technacenter,Alcazar Shrine Temple,Aldersgate UMC,AUM,Bell Rd. YMCA,Bellingrath Comm. Ctr.,Beulah Baptist Church,Bryant Missionary Bapt.,Capitol Heights Comm. Ctr.,Carver High Sch.,Catoma Elem. Sch.,Chesser Comm. Ctr. ,Chisholm Comm. Ctr.,Cleveland Ave. YMCA,Cloverdale Comm. Ctr.,Coliseum Blvd. Pub. Library,Eastdale Bapt. Ch.,Fire Station No. 14,First Southern Bapt. Ch.,Fitzpatrick Elem. Sch.,Flowers Elem. Sch.,Franklin Boys & Girls Club,Georgia Washington Jr. Hi. Sch.,Goodwyn Comm. Ctr.,Hamner Hall Fire Station,Wm. Harrison Elem. Sch.,Hayneville Rd. Comm. Ctr.,Highland Ave. Elem. Sch.,Highland Gardens Comm. Ctr.,Houston Hill Comm. Ctr.,Hunter Station Comm. Center,King Hill Comm. Ctr.,Lagoon Park Fire Station,McIntyre Comm. Ctr.,Montgomery Boys Club,Museum of Fine Arts,Newtown Comm. Ctr.,No. Montgomery Comm. Ctr.,Peter Crump Sch.,Peterson Elem.,Pike Rd. Public Library,Pintlala Vol. Fire Dept.,Ramer Public Library,Seth Johnson Elem. Sch.,Snowdoun Women's Club,So. Montgomery Co. Vol. Fire/Dublin,So. Montgomery Co. Vol. Fire/Pine Lev.,Southeast YMCA,Southlawn Elem. Sch.,Strata Church of Christ,Union Academy Bapt. Ch.,Union Chapel AME Zion Ch.,Vaughn Forest Bapt. Church,Vaughn Pk. Ch. Of Christ,Wares Ferry Rd. Elem. Sch.,Challenged
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,MONTGOMERY,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
51,MONTGOMERY,SECRETARY OF STATE,DEM,"Worley, Nancy L.",34739,787,1788,1051,536,338,982,539,687,430,1883,1155,300,718,235,60,297,795,998,445,584,963,90,1293,594,517,694,764,260,419,500,197,281,449,221,379,647,719,209,794,386,1263,1137,162,289,305,131,1129,105,99,99,828,1419,73,62,279,492,1138,731,14
51,MONTGOMERY,SECRETARY OF STATE,LIB,"Bodenhausen, Mark",959,28,21,20,23,11,25,28,34,4,15,22,28,6,9,2,20,9,55,34,15,8,2,22,48,2,13,39,7,7,3,17,29,6,2,11,32,10,8,28,7,15,19,1,15,10,2,11,4,8,4,45,14,2,1,7,28,49,12,2
51,MONTGOMERY,SECRETARY OF STATE,REP,"Thomas, Dave",28618,1282,179,100,1087,425,642,1078,1601,18,61,346,567,14,304,89,247,72,1795,1343,631,121,141,533,1502,14,503,2039,44,24,40,201,406,16,87,212,1454,13,44,958,47,132,120,29,563,490,177,229,156,146,153,1546,64,97,32,75,1648,2066,611,4
51,MONTGOMERY,SECRETARY OF STATE,WI,WRITE-IN,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,MONTGOMERY,STATE TREASURER,DEM,"Black, Stephen Foster",31251,626,1706,1012,404,295,892,418,529,437,1840,1098,255,706,174,42,272,798,834,322,523,940,76,1170,413,491,643,589,255,382,493,165,206,452,209,339,478,687,197,640,385,1226,1095,166,261,289,118,1086,95,78,80,653,1425,67,56,276,343,913,618,13
51,MONTGOMERY,STATE TREASURER,LIB,"Garland,Gabe",938,27,20,21,21,10,24,23,33,3,19,25,25,1,21,2,19,4,55,36,23,4,1,28,51,3,12,47,6,7,6,10,16,3,3,14,27,10,5,31,2,14,16,1,14,10,3,15,0,7,5,34,16,5,1,6,27,47,17,2
51,MONTGOMERY,STATE TREASURER,REP,"Ivey, Kay",33350,1470,260,135,1254,453,769,1242,1825,22,95,444,657,25,388,115,282,86,2107,1497,764,138,160,632,1755,30,567,2235,49,34,54,267,510,20,95,260,1707,31,60,1113,57,170,166,34,617,522,194,289,180,164,178,1862,89,103,37,75,1851,2440,710,5
51,MONTGOMERY,STATE TREASURER,WI,WRITE-IN,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,MONTGOMERY,STATE AUDITOR,DEM,"Gibson, Carolyn",32439,707,1738,1011,445,305,940,457,631,450,1862,1124,252,710,179,57,276,792,916,369,532,932,86,1245,444,507,649,603,256,400,498,174,219,425,208,345,541,669,208,692,382,1231,1104,165,276,274,124,1075,95,83,92,722,1438,67,52,278,419,1026,669,13
51,MONTGOMERY,STATE AUDITOR,LIB,"Reeves, Franklin",1375,34,44,39,29,17,36,31,37,6,27,38,32,6,21,3,25,12,59,48,34,19,1,29,68,6,21,67,9,9,10,16,27,8,8,21,39,16,9,42,12,23,34,4,17,17,8,29,4,6,3,52,24,4,3,9,35,64,22,2
