Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,,,,,Total Number of Votes,ABSENTEE VOTERS,BLACKBURN-ZIP CITY COMM_ CTR_,BROADWAY RECREATION CENTER,CENTER STAR-COL_ BANK COMM_ RM,CENTRAL COMMUNITY CENTER,CHAPEL-STEWARTVILLE CHURCH,CLOVERDALE COMMUNITY CENTER,CO_ BOARD OF ED_ ADM_ BLDG_,CROSSROADS-SR_ CIT_ BLDG_,DARBY DRIVE-CHURCH OF CHRIST,FLORENCE RICHARDS CENTER,FLORENCE SHERROD AVE CH CHRIST,FLORENCE-1ST PRESBYTERIAN CH_,FLORENCE-BLVD CHURCH OF CHRIST,FLORENCE-BRADSHAW HIGH SCHOOL,FLORENCE-COFFEE HIGH SCHOOL,FLORENCE-EAST AT CNTRL BAPTIST,FLORENCE-FOREST HILLS SCHOOL 1,FLORENCE-FOREST HILLS SCHOOL 2,FLORENCE-HANDY RECREATION CTR_,FLORENCE-HARLAN SCHOOL,FLORENCE-HIBBETT SCHOOL,FLORENCE-MARS HILL SCHOOL .1,FLORENCE-MARS HILL SCHOOL .2,FLORENCE-UNDERWOOD COMM CTR .1,FLORENCE-UNDERWOOD COMM CTR .2,GREENHILL SR. CITIZEN CENTER #1,GREENHILL SR. CITIZEN CENTER #2,HIGHLAND BAPTIST CHURCH .1,HIGHLAND BAPTIST CHURCH .2,KILLEN-BAPTIST CHURCH .1,KILLEN-BAPTIST CHURCH .2,LEXINGTON-FIRE STATION,MITCHELL ANDERSON-TOWN HALL,OAKLAND-FIRE STATION,ROGERSVILLE-SR_ CIT_ BLDG_  .1,ROGERSVILLE-SR_ CIT_ BLDG_  .2,ST_ FLORIAN-TOWN HALL,WATERLOO-SR_ CITIZENS' BLDG_
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,LAUDERDALE,SECRETARY OF STATE,LIB,"Bodenhausen, Mark",316,13,8,12,25,15,8,16,12,15,12,5,10,10,16,17,10,17,12,8,4,17,12,13,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,LAUDERDALE,SECRETARY OF STATE,REP,"Thomas, Dave",6963,300,203,206,499,292,154,317,571,324,266,125,161,121,355,428,171,110,390,380,26,242,274,423,326,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,LAUDERDALE,SECRETARY OF STATE,WI,WRITE-IN,26,1,1,2,3,1,1,2,2,2,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,LAUDERDALE,STATE TREASURER,DEM,"Black, Stephen Foster",13860,251,311,423,673,520,242,393,469,496,293,169,469,169,327,467,193,293,340,343,465,373,282,378,227,357,247,596,517,262,297,259,427,423,304,386,234,523,386,76
39,LAUDERDALE,STATE TREASURER,LIB,"Garland,Gabe",539,11,11,15,30,14,8,21,13,18,10,3,12,16,15,14,11,12,12,11,2,20,17,18,14,10,7,27,16,9,7,10,29,19,12,18,9,16,20,2
39,LAUDERDALE,STATE TREASURER,REP,"Ivey, Kay",10587,308,197,185,464,282,148,313,552,290,274,130,160,123,352,415,158,116,381,379,20,236,272,445,313,275,200,333,256,209,257,294,473,296,219,259,175,354,396,78
39,LAUDERDALE,STATE TREASURER,WI,WRITE-IN,25,0,1,0,1,0,1,2,1,1,1,0,0,1,1,1,0,2,2,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0
39,LAUDERDALE,STATE AUDITOR,DEM,"Gibson, Carolyn",12334,240,275,396,582,444,212,342,396,418,280,160,445,161,296,420,172,274,290,301,466,336,256,325,197,301,216,512,432,242,278,229,393,391,260,335,201,453,333,74
39,LAUDERDALE,STATE AUDITOR,LIB,"Reeves, Franklin",901,18,22,28,55,27,24,29,31,40,15,7,19,16,27,28,22,25,23,13,5,22,21,23,18,29,16,46,31,17,10,15,32,25,21,17,18,34,28,4
39,LAUDERDALE,STATE AUDITOR,REP,"Chapman, Beth",11043,302,207,194,503,299,160,319,570,319,268,132,158,126,355,411,164,120,402,396,16,248,278,459,330,294,219,368,288,208,263,304,485,291,232,293,192,375,422,73
39,LAUDERDALE,STATE AUDITOR,WI,WRITE-IN,25,1,1,0,2,1,1,1,2,2,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,2,1,0,1,0,0,1,0
