GENERAL ELECTION RESULTS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70
State Board of Education District 4,WI,WRITE-IN,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Board of Education District 6,LIB,"Vines, Patsy ",30940,0,0,0,0,2766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8040,0,0,0,0,0,0,0,0,0,0,4944,0,0,0,7429,0,0,0,0,0,1750,513,0,0,0,0,0,0,0,0
State Board of Education District 6,REP,"Byers, David ",126767,0,0,0,0,10046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51613,0,0,0,0,0,0,0,0,0,0,13327,0,0,0,20884,0,0,0,0,0,13956,1563,0,0,0,0,0,0,0,0
State Board of Education District 6,WI,WRITE-IN,326,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,34,12,0,0,0,0,0,0,0,0
State Board of Education District 8,DEM,"Caylor, Mary Jane",93512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7808,0,0,17802,0,0,0,0,0,0,0,7365,0,0,0,0,0,10744,0,0,49793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Board of Education District 8,REP,"Stout, Don ",71720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8686,0,0,12546,0,0,0,0,0,0,0,4643,0,0,0,0,0,8929,0,0,36916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Board of Education District 8,WI,WRITE-IN,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,50,0,0,0,0,0,0,0,10,0,0,0,0,0,52,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US House District 1,REP,"Belk, Judy McCain",67507,0,11072,0,0,0,0,0,0,0,0,0,0,1779,0,0,0,0,0,0,0,0,0,0,0,0,0,3375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44729,3224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3328,0,0
US House District 1,LIB,"Coffee, Dick",2957,0,887,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1860,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0
US House District 1,REP,"Bonner, Jo ",108102,0,32662,0,0,0,0,0,0,0,0,0,0,2844,0,0,0,0,0,0,0,0,0,0,0,0,0,5318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59806,4710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2762,0,0
US House District 1,WI,WRITE-IN,121,0,68,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
US House District 2,DEM,"Woods, Charles ",55495,3226,0,3553,0,0,2178,2583,0,0,0,0,0,0,0,0,2934,0,2301,0,2599,1292,0,2849,0,0,4260,0,0,0,0,1424,0,0,1742,5142,0,0,0,0,0,0,0,3132,0,0,0,0,0,0,0,13487,0,0,0,2793,0,0,0,0,0,0,0,0,0,0,0,0
US House District 2,LIB,"Shackelford, Floyd ",2948,273,0,141,0,0,45,68,0,0,0,0,0,0,0,0,172,0,67,0,128,61,0,149,0,0,412,0,0,0,0,108,0,0,67,351,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,690,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0
US House District 2,REP,"Everett, Terry ",129233,10986,0,4134,0,0,1208,3999,0,0,0,0,0,0,0,0,9713,0,2355,0,8473,2917,0,8878,0,0,16206,0,0,0,0,6243,0,0,3590,19801,0,0,0,0,0,0,0,1713,0,0,0,0,0,0,0,23738,0,0,0,5279,0,0,0,0,0,0,0,0,0,0,0,0
US House District 2,WI,WRITE-IN,289,36,0,12,0,0,0,13,0,0,0,0,0,0,0,0,28,0,10,0,21,7,0,36,0,0,44,0,0,0,0,13,0,0,7,46,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
US House District 3,DEM,"Turnham, Joe ",87351,0,0,0,0,0,0,0,12748,5007,2894,0,0,0,1832,1581,0,0,0,1821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13316,0,0,5838,0,0,0,0,0,0,16364,0,0,0,0,3287,6032,0,0,0,10603,6028,0,0,0,0,0
US House District 3,LIB,"Crispin, George ",2565,0,0,0,0,0,0,0,475,102,94,0,0,0,87,100,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,0,0,79,0,0,0,0,0,0,331,0,0,0,0,107,163,0,0,0,276,210,0,0,0,0,0
US House District 3,REP,"Rogers, Mike ",91169,0,0,0,0,0,0,0,19932,4489,3040,0,0,0,3291,3123,0,0,0,1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15241,0,0,974,0,0,0,0,0,0,12037,0,0,0,0,3964,4373,0,0,0,11135,8246,0,0,0,0,0
US House District 3,WI,WRITE-IN,138,0,0,0,0,0,0,0,48,0,9,0,0,0,3,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,29,18,0,0,0,0,0
US House District 4,LIB,"McLendon, Tony Hughes",20858,0,0,0,0,1557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2791,0,0,871,0,0,3817,961,943,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,0,1059,2824,0,0,0,2133,0,261,0,0,0,0,121,0,0,0,0,2323,0,0,596
US House District 4,REP,"Aderholt, Robert ",139705,0,0,0,0,12242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19811,0,0,11288,0,0,21160,5037,5378,0,0,0,0,0,0,0,3936,0,0,0,0,0,0,0,0,7435,17639,0,0,0,12198,0,2216,0,0,0,0,1030,0,0,0,0,13812,0,0,6523
US House District 4,WI,WRITE-IN,538,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,8,0,0,137,28,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,64,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,71,0,0,22
US House District 5,DEM,"Cramer, Bud ",143029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9166,0,0,18752,8644,0,14797,0,0,64618,0,0,0,0,0,0,14438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US House District 5,LIB,"Barksdale, Alan F.",3772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,452,142,0,391,0,0,1975,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US House District 5,REP,"Engel, Stephen P.",48226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2958,0,0,6873,1641,0,5380,0,0,22668,0,0,0,0,0,0,4608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US House District 5,WI,WRITE-IN,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,49,10,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US House District 6,LIB,"McAllister, J. Holden",19639,0,0,0,747,0,0,0,0,0,0,1793,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3822,1953,0,0,0,1390,0,0,0,0
US House District 6,REP,"Bachus, Spencer ",178171,0,0,0,4195,0,0,0,0,0,0,9794,0,0,0,0,0,0,0,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41225,14001,0,0,0,10908,0,0,0,0
US House District 6,WI,WRITE-IN,536,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,52,0,0,0,30,0,0,0,0
US House District 7,DEM,"Davis, Artur ",153735,0,0,0,0,0,0,0,0,0,0,0,3599,2791,0,0,0,0,0,0,0,0,0,0,12735,0,0,0,0,0,0,0,3761,5199,0,0,0,82221,0,0,0,0,0,0,0,0,5898,0,0,0,0,0,0,4246,3068,0,0,0,0,0,4342,0,0,22373,0,0,3502,0
US House District 7,LIB,"McCay, Lauren Orth",12100,0,0,0,0,0,0,0,0,0,0,0,349,384,0,0,0,0,0,0,0,0,0,0,1647,0,0,0,0,0,0,0,135,518,0,0,0,4472,0,0,0,0,0,0,0,0,536,0,0,0,0,0,0,246,199,0,0,0,0,0,192,0,0,3090,0,0,332,0
US House District 7,WI,WRITE-IN,474,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,5,14,0,0,0,201,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,8,7,0,0,0,0,0,7,0,0,162,0,0,11,0
State Senate District 01,DEM,"Denton, Bobby ",25174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 01,REP,"Hanson, Quinton ",14347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 01,WI,WRITE-IN,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 02,DEM,"Butler, Tom ",23922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11170,0,0,12752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 02,REP,"Andrews, Steve ",17488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,0,0,9258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 02,WI,WRITE-IN,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 03,DEM,"Roberts, Tommy Ed",26359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,0,0,2370,0,0,0,0,0,0,23533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 03,REP,"Smith, Terry ",15729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,3325,0,0,0,0,0,0,12142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 03,WI,WRITE-IN,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 04,DEM,"Little, Zeb ",24439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2194
State Senate District 04,LIB,"Graves, Greg ",836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
State Senate District 04,REP,"Hunt, Guy ",14279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1555
State Senate District 04,WI,WRITE-IN,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
State Senate District 05,DEM,"Dutton, John Randall",17133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2559,10465,0,0,426
State Senate District 05,REP,"Lee, Curt ",23657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5309,10222,0,0,904
State Senate District 05,WI,WRITE-IN,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,6
State Senate District 06,DEM,"Bedford, Roger ",23486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2335,0,0,0,0,0,0,0,0,0,0,0,4287,6103,0,0,0,0,0,0,0,3720,0,385,0,0,0,0,0,0,5393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263
State Senate District 06,REP,"Frazier, Betty ",15205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1392,0,0,0,0,0,0,0,0,0,0,0,2911,2402,0,0,0,0,0,0,0,2035,0,138,0,0,0,0,0,0,4762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565
State Senate District 06,WI,WRITE-IN,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,27,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
State Senate District 07,DEM,"Enfinger, Jeff ",25365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 07,LIB,"Bacon, Gregory Eric",1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 07,REP,"Peters, Elbert ",12823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 07,WI,WRITE-IN,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 08,DEM,"Barron, Lowell ",19890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10111,0,0,0,0,0,0,0,0,0,0,7438,0,0,0,0,0,0,0,0,2341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 08,REP,"Hammonds, David ",14222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7590,0,0,0,0,0,0,0,0,0,0,4843,0,0,0,0,0,0,0,0,1789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 08,WI,WRITE-IN,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 09,DEM,"Mitchem, Hinton ",24603,0,0,0,0,2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6885,0,0,15689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 09,REP,"Edmonds, Doris ",16995,0,0,0,0,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8206,0,0,7557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 09,WI,WRITE-IN,144,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 10,DEM,"Means, Larry ",24702,0,0,0,0,0,0,0,0,0,3301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 10,REP,"Williams, David L.",11670,0,0,0,0,0,0,0,0,0,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 10,WI,WRITE-IN,92,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 11,DEM,"Preuitt, Jim ",23397,0,0,0,0,0,0,0,3625,0,0,0,0,0,0,0,0,0,0,2992,0,0,0,0,0,0,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14758,0,0,0,0,0,0
State Senate District 11,REP,"Bradford, Ralph , Sr.",11469,0,0,0,0,0,0,0,1120,0,0,0,0,0,0,0,0,0,0,1210,0,0,0,0,0,0,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7074,0,0,0,0,0,0
State Senate District 11,WI,WRITE-IN,114,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0
State Senate District 12,DEM,"Gray, Preston R., Jr.",15537,0,0,0,0,0,0,0,11114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4423,0,0,0,0,0,0,0,0
State Senate District 12,REP,"Marsh, Del ",22712,0,0,0,0,0,0,0,16431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6281,0,0,0,0,0,0,0,0
State Senate District 12,WI,WRITE-IN,131,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0
State Senate District 13,DEM,"Dial, Gerald ",24528,0,0,0,0,0,0,0,0,7409,821,0,0,0,4134,3460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5598,0,0,0,0,0,0,0,0,0,0,0
State Senate District 13,WI,WRITE-IN,182,0,0,0,0,0,0,0,0,0,4,0,0,0,122,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 14,REP,"Erwin, Henry E. ""Hank"", Jr.",33936,0,0,0,3026,0,0,0,0,0,0,9547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15649,0,0,0,0,0,0,0,0,0
State Senate District 14,WI,WRITE-IN,459,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0
State Senate District 15,LIB,"Turner, John ",4675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708,0,0,0,0,0,0,0,0,0
State Senate District 15,REP,"French, Steve ",37003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11377,0,0,0,0,0,0,0,0,0
State Senate District 15,WI,WRITE-IN,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0
State Senate District 16,REP,"Waggoner, J. T. ""Jabo""",42316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12843,0,0,0,0,0,0,0,0,0
State Senate District 16,WI,WRITE-IN,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0
State Senate District 17,LIB,"Moore, Caroline B.",5685,0,0,0,0,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,0,0,0,0,0,0,0,0
State Senate District 17,REP,"Biddle, Jack , III",30478,0,0,0,0,8090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6332,0,0,0,0,0,0,0,0
State Senate District 17,WI,WRITE-IN,155,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0
